trace,num_requests,num_objects,req_gib,obj_gib,compulsory_miss_ratio,obj_size_req,obj_size_obj,freq_mean,time_span_sec,onehit_count,onehit_ratio
tencentBlock.ns9790.oracleGeneral.zst,5506620,119658,0.0051,0.0001,0.0217,1.0,1.0,46.0197,781199,19856,0.1659
tencentBlock.ns9783.oracleGeneral.zst,2372306,134074,0.0022,0.0001,0.0565,1.0,1.0,17.694,781199,24379,0.1818
tencentBlock.ns9776.oracleGeneral.zst,1968620,218138,0.0018,0.0002,0.1108,1.0,1.0,9.0247,382948,75194,0.3447
tencentBlock.ns9764.oracleGeneral.zst,8535916,487437,0.0079,0.0005,0.0571,1.0,1.0,17.5118,781199,143749,0.2949
tencentBlock.ns9763.oracleGeneral.zst,4370197,167853,0.0041,0.0002,0.0384,1.0,1.0,26.0359,781197,40151,0.2392
tencentBlock.ns9754.oracleGeneral.zst,2907681,124784,0.0027,0.0001,0.0429,1.0,1.0,23.3017,781199,30112,0.2413
tencentBlock.ns9748.oracleGeneral.zst,1221573,228282,0.0011,0.0002,0.1869,1.0,1.0,5.3512,781197,23825,0.1044
tencentBlock.ns9745.oracleGeneral.zst,6221105,1544025,0.0058,0.0014,0.2482,1.0,1.0,4.0291,781198,1178544,0.7633
tencentBlock.ns9738.oracleGeneral.zst,2580062,160538,0.0024,0.0001,0.0622,1.0,1.0,16.0713,781198,57179,0.3562
tencentBlock.ns9732.oracleGeneral.zst,3933736,922497,0.0037,0.0009,0.2345,1.0,1.0,4.2642,781198,166398,0.1804
tencentBlock.ns9724.oracleGeneral.zst,3046797,440980,0.0028,0.0004,0.1447,1.0,1.0,6.9092,781199,213870,0.485
tencentBlock.ns9722.oracleGeneral.zst,4023332,946242,0.0037,0.0009,0.2352,1.0,1.0,4.2519,781199,662791,0.7004
tencentBlock.ns9698.oracleGeneral.zst,3091995,148360,0.0029,0.0001,0.048,1.0,1.0,20.8412,781199,44659,0.301
tencentBlock.ns9690.oracleGeneral.zst,2883170,192126,0.0027,0.0002,0.0666,1.0,1.0,15.0067,781198,80720,0.4201
tencentBlock.ns9678.oracleGeneral.zst,2985317,277835,0.0028,0.0003,0.0931,1.0,1.0,10.7449,781199,68137,0.2452
tencentBlock.ns9675.oracleGeneral.zst,7084307,202947,0.0066,0.0002,0.0286,1.0,1.0,34.9072,781199,46182,0.2276
tencentBlock.ns9673.oracleGeneral.zst,18460742,1176514,0.0172,0.0011,0.0637,1.0,1.0,15.6911,228849,135986,0.1156
tencentBlock.ns9663.oracleGeneral.zst,13160389,1014838,0.0123,0.0009,0.0771,1.0,1.0,12.968,781199,234429,0.231
tencentBlock.ns9648.oracleGeneral.zst,1931803,215220,0.0018,0.0002,0.1114,1.0,1.0,8.9759,330738,64479,0.2996
tencentBlock.ns9642.oracleGeneral.zst,1458559,257386,0.0014,0.0002,0.1765,1.0,1.0,5.6668,642490,93770,0.3643
tencentBlock.ns9639.oracleGeneral.zst,1350796,262481,0.0013,0.0002,0.1943,1.0,1.0,5.1463,781195,107301,0.4088
tencentBlock.ns9634.oracleGeneral.zst,5635289,464129,0.0052,0.0004,0.0824,1.0,1.0,12.1416,781195,131244,0.2828
tencentBlock.ns9632.oracleGeneral.zst,1526383,268182,0.0014,0.0002,0.1757,1.0,1.0,5.6916,781199,56558,0.2109
tencentBlock.ns9625.oracleGeneral.zst,2859479,133487,0.0027,0.0001,0.0467,1.0,1.0,21.4214,781198,31012,0.2323
tencentBlock.ns9615.oracleGeneral.zst,1488463,176268,0.0014,0.0002,0.1184,1.0,1.0,8.4443,781199,39420,0.2236
tencentBlock.ns9612.oracleGeneral.zst,3494266,323859,0.0033,0.0003,0.0927,1.0,1.0,10.7895,781199,47422,0.1464
tencentBlock.ns9611.oracleGeneral.zst,6934338,189735,0.0065,0.0002,0.0274,1.0,1.0,36.5475,781199,51861,0.2733
tencentBlock.ns9604.oracleGeneral.zst,2413103,318013,0.0022,0.0003,0.1318,1.0,1.0,7.5881,781199,70821,0.2227
tencentBlock.ns9599.oracleGeneral.zst,1569652,266966,0.0015,0.0002,0.1701,1.0,1.0,5.8796,781195,61280,0.2295
tencentBlock.ns9596.oracleGeneral.zst,1528982,214973,0.0014,0.0002,0.1406,1.0,1.0,7.1124,781197,62401,0.2903
tencentBlock.ns9589.oracleGeneral.zst,1280836,261579,0.0012,0.0002,0.2042,1.0,1.0,4.8966,781198,94036,0.3595
tencentBlock.ns9581.oracleGeneral.zst,16122060,654094,0.015,0.0006,0.0406,1.0,1.0,24.6479,781199,220093,0.3365
tencentBlock.ns9569.oracleGeneral.zst,4160762,1109757,0.0039,0.001,0.2667,1.0,1.0,3.7493,781199,513704,0.4629
tencentBlock.ns9567.oracleGeneral.zst,3657104,133880,0.0034,0.0001,0.0366,1.0,1.0,27.3163,781198,32848,0.2454
